Permission	Allowed	Denied
Email - Content - Survey - Copy	false	false
Email - Content - Microsite	false	false
Email - Content - Microsite - Create	false	false
Email - Content - Microsite - View	false	false
Email - Content - Microsite - Update	false	false
Email - Content - Microsite - Delete	false	false
Email - Content - Microsite Layout	false	false
Email - Content - Microsite Layout - Create	false	false
Email - Content - Microsite Layout - View	false	false
Email - Content - Microsite Layout - Update	false	false
Email - Content - Microsite Layout - Delete	false	false
Email - Content - Coupon	false	false
Email - Content - Coupon - Create	false	false
Email - Content - Coupon - View	false	false
Email - Content - Coupon - Update	false	false
Email - Content - Coupon - Delete	false	false
Email - Content - Google Ad	false	false
Email - Content - Google Ad - Create	false	false
Email - Content - Google Ad - View	false	false
Email - Content - Google Ad - Update	false	false
Email - Content - Google Ad - Delete	false	false
Email - Content - Header/Footer Library	false	false
Email - Content - Header/Footer Library - Create	false	false
Email - Content - Header/Footer Library - View	false	false
Email - Content - Header/Footer Library - Update	false	false
Email - Content - Header/Footer Library - Delete	false	false
Email - Content - Live Image	false	false
Email - Content - Live Image - Create	false	false
Email - Content - Live Image - View	false	false
Email - Content - Live Image - Update	false	false
Email - Content - Live Image - Delete	false	false
Email - Content - Omniture TnT	false	false
Email - Content - Omniture TnT - Create	false	false
Email - Content - Omniture TnT - View	false	false
Email - Content - Omniture TnT - Update	false	false
Email - Content - Omniture TnT - Delete	false	false
Email - Content - Simple Automated Email	false	false
Email - Content - Simple Automated Email - Create	false	false
Email - Content - Simple Automated Email - View	false	false
Email - Content - Simple Automated Email - Update	false	false
Email - Content - Simple Automated Email - Delete	false	false
Email - Content - Simple Automated Email - Preview	false	false
Email - Content - Simple Automated Email - View Tracking	false	false
Email - Content - Simple Automated Email - Content Detective	false	false
Email - Content - Simple Automated Email - Validate	false	false
Email - Content - Simple Automated Email - Create From Existing Email	false	false
Email - Content - Simple Automated Email - Configure	false	false
Email - Content - Simple Automated Email - Start	false	false
Email - Content - Simple Automated Email - Stop	false	false
Email - Content - Advanced Test Send Options	false	false
Email - Content - Advanced Test Send Options - Test Send Multiple Versions	false	false
Email - Content - Advanced Test Send Options - Test Send To Test List	false	false
Email - Content - Advanced Test Send Options - Test Send To Test Data Extension	false	false
Email - Subscribers	false	false
Email - Subscribers - Subscriber	false	false
Email - Subscribers - Subscriber - Create	false	false
Email - Subscribers - Subscriber - View	false	false
Email - Subscribers - Subscriber - Update	false	false
Email - Subscribers - Subscriber - Delete	false	false
Email - Subscribers - List	false	false
Email - Subscribers - List - Create	false	false
Email - Subscribers - List - View	false	false
Email - Subscribers - List - Update	false	false
Email - Subscribers - List - Delete	false	false
Email - Subscribers - List - View Subscribers	false	false
Email - Subscribers - List - Import Subscribers	false	false
Email - Subscribers - List - Export Subscribers	false	false
Email - Subscribers - List - SendEmailToList	false	false
Email - Subscribers - List - Search Subscribers	false	false
Email - Subscribers - List - Move Subscribers	false	false
Email - Subscribers - List - Copy Subscribers	false	false
Email - Subscribers - List - Manage Welcome Email	false	false
Email - Subscribers - Publication List	false	false
Email - Subscribers - Publication List - Create	false	false
Email - Subscribers - Publication List - View	false	false
Email - Subscribers - Publication List - Update	false	false
Email - Subscribers - Publication List - Delete	false	false
Email - Subscribers - Publication List - View Subscribers	false	false
Email - Subscribers - Publication List - Export Subscribers	false	false
Email - Subscribers - Publication List - Import Subscribers	false	false
Email - Subscribers - Publication List - Share	false	false
Email - Subscribers - Publication List - Search Subscribers	false	false
Email - Subscribers - Publication List - Move Subscribers	false	false
Email - Subscribers - Publication List - Copy Subscribers	false	false
Email - Subscribers - Publication List - Transfer Ownership	false	false
Email - Subscribers - Group	false	false
Email - Subscribers - Group - Create	false	false
Email - Subscribers - Group - View	false	false
Email - Subscribers - Group - Update	false	false
Email - Subscribers - Group - Delete	false	false
Email - Subscribers - Group - Refresh	false	false
Email - Subscribers - Group - View Subscribers	false	false
Email - Subscribers - Group - Export Subscribers	false	false
Email - Subscribers - Group - Send Email To Group	false	false
Email - Subscribers - Group - Copy Subscribers	false	false
Email - Subscribers - Attribute	false	false
Email - Subscribers - Attribute - Create	false	false
Email - Subscribers - Attribute - View	false	false
Email - Subscribers - Attribute - Update	false	false
Email - Subscribers - Attribute - Delete	false	false
Email - Subscribers - Attribute - Preview	false	false
Email - Subscribers - Data Extension	false	false
Email - Subscribers - Data Extension - Create	false	false
Email - Subscribers - Data Extension - View	false	false
Email - Subscribers - Data Extension - Update	false	false
Email - Subscribers - Data Extension - Delete	false	false
Email - Subscribers - Data Extension - Manage Data	false	false
Email - Subscribers - Data Extension - Manage Data Retention	false	false
Email - Subscribers - Data Extension - Transfer Ownership	false	false
Email - Subscribers - Data Extension - Clear Data	false	false
Email - Subscribers - Data Extension - Import	false	false
Email - Subscribers - Data Extension - Export	false	false
Email - Subscribers - Data Extension - Export to Desktop	false	false
Email - Subscribers - Data Relationship	false	false
Email - Subscribers - Data Relationship - Create	false	false
Email - Subscribers - Data Relationship - View	false	false
Email - Subscribers - Data Relationship - Update	false	false
Email - Subscribers - Data Relationship - Delete	false	false
Email - Subscribers - Measure	false	false
Email - Subscribers - Measure - Create	false	false
Email - Subscribers - Measure - View	false	false
Email - Subscribers - Measure - Update	false	false
Email - Subscribers - Measure - Delete	false	false
Email - Subscribers - Data Filter	false	false
Email - Subscribers - Data Filter - Create	false	false
Email - Subscribers - Data Filter - View	false	false
Email - Subscribers - Data Filter - Update	false	false
Email - Subscribers - Data Filter - Delete	false	false
Email - Subscribers - All Subscribers	false	false
Email - Subscribers - All Subscribers - View	false	false
Email - Subscribers - All Subscribers - View Subscribers	false	false
Email - Subscribers - All Subscribers - Import Subscribers	false	false
Email - Subscribers - All Subscribers - Export Subscribers	false	false
Email - Subscribers - All Subscribers - Search Subscribers	false	false
Email - Subscribers - All Subscribers - Copy Subscribers	false	false
Email - Subscribers - All Subscribers - SendEmailToList	false	false
Email - Subscribers - All Subscribers - Manage Welcome Email	false	false
Email - Subscribers - Audience	false	false
Email - Subscribers - Audience - Create	false	false
Email - Subscribers - Audience - View	false	false
Email - Subscribers - Audience - Update	false	false
Email - Subscribers - Audience - Delete	false	false
Email - Subscribers - Audience - View Subscribers	false	false
Email - Subscribers - Audience - Import Subscribers	false	false
Email - Subscribers - Audience - Export Subscribers	false	false
Email - Subscribers - Audience - Search Subscribers	false	false
Email - Subscribers - Audience - Move Subscribers	false	false
Email - Subscribers - Audience - Copy Subscribers	false	false
Email - Subscribers - Audience - Send Email To Audience	false	false
Email - Subscribers - Suppression List	false	false
Email - Subscribers - Suppression List - Create	false	false
Email - Subscribers - Suppression List - View	false	false
Email - Subscribers - Suppression List - Update	false	false
Email - Subscribers - Suppression List - Delete	false	false
Email - Subscribers - Suppression List - View Subscribers	false	false
Email - Subscribers - Suppression List - Import Subscribers	false	false
Email - Subscribers - Suppression List - Export Subscribers	false	false
Email - Subscribers - Suppression List - Search Subscribers	false	false
Email - Subscribers - Suppression List - Move Subscribers	false	false
Email - Subscribers - Suppression List - Copy Subscribers	false	false
Email - Subscribers - Suppression List - Share	false	false
Email - Subscribers - Suppression List - Transfer Ownership	false	false
Email - Subscribers - Salesforce Data Extension	false	false
Email - Subscribers - Salesforce Data Extension - Create	false	false
Email - Subscribers - Salesforce Data Extension - View	false	false
Email - Subscribers - Salesforce Data Extension - Update	false	false
Email - Subscribers - Salesforce Data Extension - Delete	false	false
Email - Subscribers - Salesforce Data Extension - Manage Data	false	false
Email - Subscribers - Salesforce Data Extension - Manage Data Retention	false	false
Email - Subscribers - Salesforce Data Extension - Transfer Ownership	false	false
Email - Subscribers - Salesforce Data Extension - Clear Data	false	false
Email - Subscribers - Salesforce Data Extension - Import	false	false
Email - Subscribers - Salesforce Data Extension - Export	false	false
Email - Subscribers - Salesforce Data Extension - Export to Desktop	false	false
Email - Interactions	false	false
Email - Interactions - Activities	false	false
Email - Interactions - Activities - Data Extract	false	false
Email - Interactions - Activities - Data Extract - Create	false	false
Email - Interactions - Activities - Data Extract - View	false	false
Email - Interactions - Activities - Data Extract - Update	false	false
Email - Interactions - Activities - Data Extract - Delete	false	false
Email - Interactions - Activities - Data Extract - Start	false	false
Email - Interactions - Activities - Report	false	false
Email - Interactions - Activities - Report - Create	false	false
Email - Interactions - Activities - Report - View	false	false
Email - Interactions - Activities - Report - Update	false	false
Email - Interactions - Activities - Report - Delete	false	false
Email - Interactions - Activities - File Transfer	false	false
Email - Interactions - Activities - File Transfer - Create	false	false
Email - Interactions - Activities - File Transfer - View	false	false
Email - Interactions - Activities - File Transfer - Update	false	false
Email - Interactions - Activities - File Transfer - Delete	false	false
Email - Interactions - Activities - File Transfer - Start	false	false
Email - Interactions - Activities - Import	false	false
Email - Interactions - Activities - Import - Create	false	false
Email - Interactions - Activities - Import - View	false	false
Email - Interactions - Activities - Import - Update	false	false
Email - Interactions - Activities - Import - Delete	false	false
Email - Interactions - Activities - Import - Start	false	false
Email - Interactions - Activities - Import - View File History	false	false
Email - Interactions - Activities - Query	false	false
Email - Interactions - Activities - Query - Create	false	false
Email - Interactions - Activities - Query - View	false	false
Email - Interactions - Activities - Query - Update	false	false
Email - Interactions - Activities - Query - Delete	false	false
Email - Interactions - Activities - Query - Start	false	false
Email - Interactions - Activities - Query - Move	false	false
Email - Interactions - Activities - Filter	false	false
Email - Interactions - Activities - Filter - Create	false	false
Email - Interactions - Activities - Filter - View	false	false
Email - Interactions - Activities - Filter - Update	false	false
Email - Interactions - Activities - Filter - Delete	false	false
Email - Interactions - Activities - Filter - Start	false	false
Email - Interactions - Activities - Scripts	false	false
Email - Interactions - Activities - Scripts - Create	false	false
Email - Interactions - Activities - Scripts - Update	false	false
Email - Interactions - Activities - Scripts - Delete	false	false
Email - Interactions - Activities - Scripts - View	true	false
Email - Interactions - Activities - Scripts - Preview	false	false
Email - Interactions - Activities - Scripts - Start	false	false
Email - Interactions - Activities - Scripts - Stop	false	false
Email - Interactions - Activities - Data Factory Utility	false	false
Email - Interactions - Activities - Data Factory Utility - Create	false	false
Email - Interactions - Activities - Data Factory Utility - Update	false	false
